P_gc,T_amb,T_evp,T_gc_exit,Q_evp,W_comp,COP
8000,40,6,43,11.11,25.05,0.4436
8001,40,6,43,11.13,25.06,0.4443
8001,40,6,43,11.15,25.06,0.445
8002,40,6,43,11.17,25.06,0.4458
8003,40,6,43,11.19,25.07,0.4465
8004,40,6,43,11.21,25.07,0.4473
8004,40,6,43,11.23,25.07,0.448
8005,40,6,43,11.25,25.08,0.4488
8006,40,6,43,11.27,25.08,0.4495
8006,40,6,43,11.3,25.08,0.4503
8007,40,6,43,11.32,25.09,0.451
8008,40,6,43,11.34,25.09,0.4518
8008,40,6,43,11.36,25.1,0.4525
8009,40,6,43,11.38,25.1,0.4533
8010,40,6,43,11.4,25.1,0.454
8011,40,6,43,11.42,25.11,0.4548
8011,40,6,43,11.44,25.11,0.4555
8012,40,6,43,11.46,25.11,0.4563
8013,40,6,43,11.48,25.12,0.457
8013,40,6,43,11.5,25.12,0.4578
8014,40,6,43,11.52,25.12,0.4585
8015,40,6,43,11.54,25.13,0.4593
8015,40,6,43,11.56,25.13,0.46
8016,40,6,43,11.58,25.13,0.4608
8017,40,6,43,11.6,25.14,0.4615
8018,40,6,43,11.62,25.14,0.4623
8018,40,6,43,11.64,25.14,0.463
8019,40,6,43,11.66,25.15,0.4638
8020,40,6,43,11.68,25.15,0.4645
8020,40,6,43,11.7,25.15,0.4653
8021,40,6,43,11.72,25.16,0.466
8022,40,6,43,11.74,25.16,0.4668
8022,40,6,43,11.77,25.17,0.4675
8023,40,6,43,11.79,25.17,0.4683
8024,40,6,43,11.81,25.17,0.469
8025,40,6,43,11.83,25.18,0.4698
8025,40,6,43,11.85,25.18,0.4705
8026,40,6,43,11.87,25.18,0.4713
8027,40,6,43,11.89,25.19,0.472
8027,40,6,43,11.91,25.19,0.4728
8028,40,6,43,11.93,25.19,0.4735
8029,40,6,43,11.95,25.2,0.4743
8029,40,6,43,11.97,25.2,0.475
8030,40,6,43,11.99,25.2,0.4758
8031,40,6,43,12.01,25.21,0.4765
8032,40,6,43,12.03,25.21,0.4773
8032,40,6,43,12.05,25.21,0.478
8033,40,6,43,12.07,25.22,0.4788
8034,40,6,43,12.09,25.22,0.4795
8034,40,6,43,12.11,25.22,0.4803
8035,40,6,43,12.14,25.23,0.481
8036,40,6,43,12.16,25.23,0.4818
8036,40,6,43,12.18,25.24,0.4825
8037,40,6,43,12.2,25.24,0.4833
8038,40,6,43,12.22,25.24,0.484
8039,40,6,43,12.24,25.25,0.4848
8039,40,6,43,12.26,25.25,0.4855
8040,40,6,43,12.28,25.25,0.4863
8041,40,6,43,12.3,25.26,0.487
8041,40,6,43,12.32,25.26,0.4878
8042,40,6,43,12.34,25.26,0.4885
8043,40,6,43,12.36,25.27,0.4893
8043,40,6,43,12.38,25.27,0.49
8044,40,6,43,12.4,25.27,0.4908
8045,40,6,43,12.42,25.28,0.4915
8046,40,6,43,12.45,25.28,0.4923
8046,40,6,43,12.47,25.28,0.493
8047,40,6,43,12.49,25.29,0.4938
8048,40,6,43,12.51,25.29,0.4945
8048,40,6,43,12.53,25.3,0.4953
8049,40,6,43,12.55,25.3,0.4961
8050,40,6,43,12.57,25.3,0.4968
8050,40,6,43,12.59,25.31,0.4976
8051,40,6,43,12.61,25.31,0.4983
8052,40,6,43,12.63,25.31,0.4991
8053,40,6,43,12.65,25.32,0.4998
8053,40,6,43,12.67,25.32,0.5006
8054,40,6,43,12.7,25.32,0.5013
8055,40,6,43,12.72,25.33,0.5021
8055,40,6,43,12.74,25.33,0.5028
8056,40,6,43,12.76,25.33,0.5036
8057,40,6,43,12.78,25.34,0.5043
8057,40,6,43,12.8,25.34,0.5051
8058,40,6,43,12.82,25.34,0.5058
8059,40,6,43,12.84,25.35,0.5066
8060,40,6,43,12.86,25.35,0.5074
8060,40,6,43,12.88,25.35,0.5081
8061,40,6,43,12.9,25.36,0.5089
8062,40,6,43,12.92,25.36,0.5096
8062,40,6,43,12.95,25.37,0.5104
8063,40,6,43,12.97,25.37,0.5111
8064,40,6,43,12.99,25.37,0.5119
8064,40,6,43,13.01,25.38,0.5126
8065,40,6,43,13.03,25.38,0.5134
8066,40,6,43,13.05,25.38,0.5141
8067,40,6,43,13.07,25.39,0.5149
8067,40,6,43,13.09,25.39,0.5156
8068,40,6,43,13.11,25.39,0.5164
8069,40,6,43,13.13,25.4,0.5172
8069,40,6,43,13.15,25.4,0.5179
8070,40,6,43,13.18,25.4,0.5187
8071,40,6,43,13.2,25.41,0.5194
8071,40,6,43,13.22,25.41,0.5202
8072,40,6,43,13.24,25.41,0.5209
8073,40,6,43,13.26,25.42,0.5217
8074,40,6,43,13.28,25.42,0.5224
8074,40,6,43,13.3,25.42,0.5232
8075,40,6,43,13.32,25.43,0.524
8076,40,6,43,13.34,25.43,0.5247
8076,40,6,43,13.37,25.43,0.5255
8077,40,6,43,13.39,25.44,0.5262
8078,40,6,43,13.41,25.44,0.527
8078,40,6,43,13.43,25.45,0.5277
8079,40,6,43,13.45,25.45,0.5285
8080,40,6,43,13.47,25.45,0.5292
8081,40,6,43,13.49,25.46,0.53
8081,40,6,43,13.51,25.46,0.5308
8082,40,6,43,13.53,25.46,0.5315
8083,40,6,43,13.55,25.47,0.5323
8083,40,6,43,13.58,25.47,0.533
8084,40,6,43,13.6,25.47,0.5338
8085,40,6,43,13.62,25.48,0.5345
8085,40,6,43,13.64,25.48,0.5353
8086,40,6,43,13.66,25.48,0.5361
8087,40,6,43,13.68,25.49,0.5368
8088,40,6,43,13.7,25.49,0.5376
8088,40,6,43,13.72,25.49,0.5383
8089,40,6,43,13.75,25.5,0.5391
8090,40,6,43,13.77,25.5,0.5398
8090,40,6,43,13.79,25.5,0.5406
8091,40,6,43,13.81,25.51,0.5414
8092,40,6,43,13.83,25.51,0.5421
8092,40,6,43,13.85,25.52,0.5429
8093,40,6,43,13.87,25.52,0.5436
8094,40,6,43,13.89,25.52,0.5444
8095,40,6,43,13.92,25.53,0.5451
8095,40,6,43,13.94,25.53,0.5459
8096,40,6,43,13.96,25.53,0.5467
8097,40,6,43,13.98,25.54,0.5474
8097,40,6,43,14,25.54,0.5482
8098,40,6,43,14.02,25.54,0.5489
8099,40,6,43,14.04,25.55,0.5497
8099,40,6,43,14.06,25.55,0.5505
8100,40,6,43,14.09,25.55,0.5512
8101,40,6,43,14.11,25.56,0.552
8102,40,6,43,14.13,25.56,0.5527
8102,40,6,43,14.15,25.56,0.5535
8103,40,6,43,14.17,25.57,0.5542
8104,40,6,43,14.19,25.57,0.555
8104,40,6,43,14.21,25.57,0.5558
8105,40,6,43,14.23,25.58,0.5565
8106,40,6,43,14.26,25.58,0.5573
8106,40,6,43,14.28,25.58,0.558
8107,40,6,43,14.3,25.59,0.5588
8108,40,6,43,14.32,25.59,0.5596
8109,40,6,43,14.34,25.6,0.5603
8109,40,6,43,14.36,25.6,0.5611
8110,40,6,43,14.38,25.6,0.5618
8111,40,6,43,14.41,25.61,0.5626
8111,40,6,43,14.43,25.61,0.5634
8112,40,6,43,14.45,25.61,0.5641
8113,40,6,43,14.47,25.62,0.5649
8113,40,6,43,14.49,25.62,0.5656
8114,40,6,43,14.51,25.62,0.5664
8115,40,6,43,14.53,25.63,0.5672
8116,40,6,43,14.56,25.63,0.5679
8116,40,6,43,14.58,25.63,0.5687
8117,40,6,43,14.6,25.64,0.5694
8118,40,6,43,14.62,25.64,0.5702
8118,40,6,43,14.64,25.64,0.571
8119,40,6,43,14.66,25.65,0.5717
8120,40,6,43,14.69,25.65,0.5725
8120,40,6,43,14.71,25.65,0.5733
8121,40,6,43,14.73,25.66,0.574
8122,40,6,43,14.75,25.66,0.5748
8123,40,6,43,14.77,25.66,0.5755
8123,40,6,43,14.79,25.67,0.5763
8124,40,6,43,14.81,25.67,0.5771
8125,40,6,43,14.84,25.68,0.5778
8125,40,6,43,14.86,25.68,0.5786
8126,40,6,43,14.88,25.68,0.5794
8127,40,6,43,14.9,25.69,0.5801
8127,40,6,43,14.92,25.69,0.5809
8128,40,6,43,14.94,25.69,0.5816
8129,40,6,43,14.97,25.7,0.5824
8130,40,6,43,14.99,25.7,0.5832
8130,40,6,43,15.01,25.7,0.5839
8131,40,6,43,15.03,25.71,0.5847
8132,40,6,43,15.05,25.71,0.5855
8132,40,6,43,15.07,25.71,0.5862
8133,40,6,43,15.1,25.72,0.587
8134,40,6,43,15.12,25.72,0.5877
8134,40,6,43,15.14,25.72,0.5885
8135,40,6,43,15.16,25.73,0.5893
8136,40,6,43,15.18,25.73,0.59
8137,40,6,43,15.2,25.73,0.5908
8137,40,6,43,15.23,25.74,0.5916
8138,40,6,43,15.25,25.74,0.5923
8139,40,6,43,15.27,25.74,0.5931
8139,40,6,43,15.29,25.75,0.5939
8140,40,6,43,15.31,25.75,0.5946
8141,40,6,43,15.33,25.76,0.5954
8141,40,6,43,15.36,25.76,0.5961
8142,40,6,43,15.38,25.76,0.5969
8143,40,6,43,15.4,25.77,0.5977
8144,40,6,43,15.42,25.77,0.5984
8144,40,6,43,15.44,25.77,0.5992
8145,40,6,43,15.46,25.78,0.6
8146,40,6,43,15.49,25.78,0.6007
8146,40,6,43,15.51,25.78,0.6015
8147,40,6,43,15.53,25.79,0.6023
8148,40,6,43,15.55,25.79,0.603
8148,40,6,43,15.57,25.79,0.6038
8149,40,6,43,15.6,25.8,0.6046
8150,40,6,43,15.62,25.8,0.6053
8151,40,6,43,15.64,25.8,0.6061
8151,40,6,43,15.66,25.81,0.6069
8152,40,6,43,15.68,25.81,0.6076
8153,40,6,43,15.71,25.81,0.6084
8153,40,6,43,15.73,25.82,0.6092
8154,40,6,43,15.75,25.82,0.6099
8155,40,6,43,15.77,25.82,0.6107
8155,40,6,43,15.79,25.83,0.6115
8156,40,6,43,15.81,25.83,0.6122
8157,40,6,43,15.84,25.84,0.613
8158,40,6,43,15.86,25.84,0.6138
8158,40,6,43,15.88,25.84,0.6145
8159,40,6,43,15.9,25.85,0.6153
8160,40,6,43,15.92,25.85,0.6161
8160,40,6,43,15.95,25.85,0.6168
8161,40,6,43,15.97,25.86,0.6176
8162,40,6,43,15.99,25.86,0.6184
8162,40,6,43,16.01,25.86,0.6191
8163,40,6,43,16.03,25.87,0.6199
8164,40,6,43,16.06,25.87,0.6207
8165,40,6,43,16.08,25.87,0.6214
8165,40,6,43,16.1,25.88,0.6222
8166,40,6,43,16.12,25.88,0.623
8167,40,6,43,16.14,25.88,0.6237
8167,40,6,43,16.17,25.89,0.6245
8168,40,6,43,16.19,25.89,0.6253
8169,40,6,43,16.21,25.89,0.626
8169,40,6,43,16.23,25.9,0.6268
8170,40,6,43,16.26,25.9,0.6276
8171,40,6,43,16.28,25.9,0.6284
8172,40,6,43,16.3,25.91,0.6291
8172,40,6,43,16.32,25.91,0.6299
8173,40,6,43,16.34,25.91,0.6307
8174,40,6,43,16.37,25.92,0.6314
8174,40,6,43,16.39,25.92,0.6322
8175,40,6,43,16.41,25.93,0.633
8176,40,6,43,16.43,25.93,0.6337
8176,40,6,43,16.45,25.93,0.6345
8177,40,6,43,16.48,25.94,0.6353
8178,40,6,43,16.5,25.94,0.6361
8179,40,6,43,16.52,25.94,0.6368
8179,40,6,43,16.54,25.95,0.6376
8180,40,6,43,16.57,25.95,0.6384
8181,40,6,43,16.59,25.95,0.6391
8181,40,6,43,16.61,25.96,0.6399
8182,40,6,43,16.63,25.96,0.6407
8183,40,6,43,16.65,25.96,0.6414
8183,40,6,43,16.68,25.97,0.6422
8184,40,6,43,16.7,25.97,0.643
8185,40,6,43,16.72,25.97,0.6438
8186,40,6,43,16.74,25.98,0.6445
8186,40,6,43,16.77,25.98,0.6453
8187,40,6,43,16.79,25.98,0.6461
8188,40,6,43,16.81,25.99,0.6468
8188,40,6,43,16.83,25.99,0.6476
8189,40,6,43,16.85,25.99,0.6484
8190,40,6,43,16.88,26,0.6492
8190,40,6,43,16.9,26,0.6499
8191,40,6,43,16.92,26,0.6507
8192,40,6,43,16.94,26.01,0.6515
8193,40,6,43,16.97,26.01,0.6523
8193,40,6,43,16.99,26.02,0.653
8194,40,6,43,17.01,26.02,0.6538
8195,40,6,43,17.03,26.02,0.6546
8195,40,6,43,17.06,26.03,0.6553
8196,40,6,43,17.08,26.03,0.6561
8197,40,6,43,17.1,26.03,0.6569
8197,40,6,43,17.12,26.04,0.6577
8198,40,6,43,17.15,26.04,0.6584
8199,40,6,43,17.17,26.04,0.6592
8200,40,6,43,17.19,26.05,0.66
8200,40,6,43,17.21,26.05,0.6608
8201,40,6,43,17.24,26.05,0.6615
8202,40,6,43,17.26,26.06,0.6623
8202,40,6,43,17.28,26.06,0.6631
8203,40,6,43,17.3,26.06,0.6639
8204,40,6,43,17.32,26.07,0.6646
8204,40,6,43,17.35,26.07,0.6654
8205,40,6,43,17.37,26.07,0.6662
8206,40,6,43,17.39,26.08,0.667
8207,40,6,43,17.42,26.08,0.6677
8207,40,6,43,17.44,26.08,0.6685
8208,40,6,43,17.46,26.09,0.6693
8209,40,6,43,17.48,26.09,0.6701
8209,40,6,43,17.51,26.09,0.6708
8210,40,6,43,17.53,26.1,0.6716
8211,40,6,43,17.55,26.1,0.6724
8211,40,6,43,17.57,26.1,0.6732
8212,40,6,43,17.6,26.11,0.6739
8213,40,6,43,17.62,26.11,0.6747
8214,40,6,43,17.64,26.12,0.6755
8214,40,6,43,17.66,26.12,0.6763
8215,40,6,43,17.69,26.12,0.677
8216,40,6,43,17.71,26.13,0.6778
8216,40,6,43,17.73,26.13,0.6786
8217,40,6,43,17.75,26.13,0.6794
8218,40,6,43,17.78,26.14,0.6802
8218,40,6,43,17.8,26.14,0.6809
8219,40,6,43,17.82,26.14,0.6817
8220,40,6,43,17.84,26.15,0.6825
8221,40,6,43,17.87,26.15,0.6833
8221,40,6,43,17.89,26.15,0.684
8222,40,6,43,17.91,26.16,0.6848
8223,40,6,43,17.94,26.16,0.6856
8223,40,6,43,17.96,26.16,0.6864
8224,40,6,43,17.98,26.17,0.6872
8225,40,6,43,18,26.17,0.6879
8225,40,6,43,18.03,26.17,0.6887
8226,40,6,43,18.05,26.18,0.6895
8227,40,6,43,18.07,26.18,0.6903
8228,40,6,43,18.09,26.18,0.691
8228,40,6,43,18.12,26.19,0.6918
8229,40,6,43,18.14,26.19,0.6926
8230,40,6,43,18.16,26.19,0.6934
8230,40,6,43,18.19,26.2,0.6942
8231,40,6,43,18.21,26.2,0.6949
8232,40,6,43,18.23,26.2,0.6957
8232,40,6,43,18.25,26.21,0.6965
8233,40,6,43,18.28,26.21,0.6973
8234,40,6,43,18.3,26.22,0.6981
8235,40,6,43,18.32,26.22,0.6988
8235,40,6,43,18.35,26.22,0.6996
8236,40,6,43,18.37,26.23,0.7004
8237,40,6,43,18.39,26.23,0.7012
8237,40,6,43,18.41,26.23,0.702
8238,40,6,43,18.44,26.24,0.7027
8239,40,6,43,18.46,26.24,0.7035
8239,40,6,43,18.48,26.24,0.7043
8240,40,6,43,18.51,26.25,0.7051
8241,40,6,43,18.53,26.25,0.7059
8242,40,6,43,18.55,26.25,0.7067
8242,40,6,43,18.57,26.26,0.7074
8243,40,6,43,18.6,26.26,0.7082
8244,40,6,43,18.62,26.26,0.709
8244,40,6,43,18.64,26.27,0.7098
8245,40,6,43,18.67,26.27,0.7106
8246,40,6,43,18.69,26.27,0.7113
8246,40,6,43,18.71,26.28,0.7121
8247,40,6,43,18.74,26.28,0.7129
8248,40,6,43,18.76,26.28,0.7137
8249,40,6,43,18.78,26.29,0.7145
8249,40,6,43,18.8,26.29,0.7153
8250,40,6,43,18.83,26.29,0.716
8251,40,6,43,18.85,26.3,0.7168
8251,40,6,43,18.87,26.3,0.7176
8252,40,6,43,18.9,26.3,0.7184
8253,40,6,43,18.92,26.31,0.7192
8253,40,6,43,18.94,26.31,0.72
8254,40,6,43,18.97,26.32,0.7207
8255,40,6,43,18.99,26.32,0.7215
8256,40,6,43,19.01,26.32,0.7223
8256,40,6,43,19.04,26.33,0.7231
8257,40,6,43,19.06,26.33,0.7239
8258,40,6,43,19.08,26.33,0.7247
8258,40,6,43,19.11,26.34,0.7255
8259,40,6,43,19.13,26.34,0.7262
8260,40,6,43,19.15,26.34,0.727
8260,40,6,43,19.17,26.35,0.7278
8261,40,6,43,19.2,26.35,0.7286
8262,40,6,43,19.22,26.35,0.7294
8263,40,6,43,19.24,26.36,0.7302
8263,40,6,43,19.27,26.36,0.731
8264,40,6,43,19.29,26.36,0.7317
8265,40,6,43,19.31,26.37,0.7325
8265,40,6,43,19.34,26.37,0.7333
8266,40,6,43,19.36,26.37,0.7341
8267,40,6,43,19.38,26.38,0.7349
8267,40,6,43,19.41,26.38,0.7357
8268,40,6,43,19.43,26.38,0.7365
8269,40,6,43,19.45,26.39,0.7372
8270,40,6,43,19.48,26.39,0.738
8270,40,6,43,19.5,26.39,0.7388
8271,40,6,43,19.52,26.4,0.7396
8272,40,6,43,19.55,26.4,0.7404
8272,40,6,43,19.57,26.4,0.7412
8273,40,6,43,19.59,26.41,0.742
8274,40,6,43,19.62,26.41,0.7428
8274,40,6,43,19.64,26.41,0.7435
8275,40,6,43,19.66,26.42,0.7443
8276,40,6,43,19.69,26.42,0.7451
8277,40,6,43,19.71,26.42,0.7459
8277,40,6,43,19.73,26.43,0.7467
8278,40,6,43,19.76,26.43,0.7475
8279,40,6,43,19.78,26.44,0.7483
8279,40,6,43,19.8,26.44,0.7491
8280,40,6,43,19.83,26.44,0.7499
8281,40,6,43,19.85,26.45,0.7506
8281,40,6,43,19.87,26.45,0.7514
8282,40,6,43,19.9,26.45,0.7522
8283,40,6,43,19.92,26.46,0.753
8284,40,6,43,19.95,26.46,0.7538
8284,40,6,43,19.97,26.46,0.7546
8285,40,6,43,19.99,26.47,0.7554
8286,40,6,43,20.02,26.47,0.7562
8286,40,6,43,20.04,26.47,0.757
8287,40,6,43,20.06,26.48,0.7578
8288,40,6,43,20.09,26.48,0.7585
8288,40,6,43,20.11,26.48,0.7593
8289,40,6,43,20.13,26.49,0.7601
8290,40,6,43,20.16,26.49,0.7609
8291,40,6,43,20.18,26.49,0.7617
8291,40,6,43,20.2,26.5,0.7625
8292,40,6,43,20.23,26.5,0.7633
8293,40,6,43,20.25,26.5,0.7641
8293,40,6,43,20.27,26.51,0.7649
8294,40,6,43,20.3,26.51,0.7657
8295,40,6,43,20.32,26.51,0.7665
8295,40,6,43,20.35,26.52,0.7673
8296,40,6,43,20.37,26.52,0.7681
8297,40,6,43,20.39,26.52,0.7688
8298,40,6,43,20.42,26.53,0.7696
8298,40,6,43,20.44,26.53,0.7704
8299,40,6,43,20.46,26.53,0.7712
8300,40,6,43,20.49,26.54,0.772
8300,40,6,43,20.51,26.54,0.7728
8301,40,6,43,20.54,26.54,0.7736
8302,40,6,43,20.56,26.55,0.7744
8302,40,6,43,20.58,26.55,0.7752
8303,40,6,43,20.61,26.56,0.776
8304,40,6,43,20.63,26.56,0.7768
8305,40,6,43,20.65,26.56,0.7776
8305,40,6,43,20.68,26.57,0.7784
8306,40,6,43,20.7,26.57,0.7792
8307,40,6,43,20.73,26.57,0.78
8307,40,6,43,20.75,26.58,0.7808
8308,40,6,43,20.77,26.58,0.7816
8309,40,6,43,20.8,26.58,0.7823
8309,40,6,43,20.82,26.59,0.7831
8310,40,6,43,20.84,26.59,0.7839
8311,40,6,43,20.87,26.59,0.7847
8312,40,6,43,20.89,26.6,0.7855
8312,40,6,43,20.92,26.6,0.7863
8313,40,6,43,20.94,26.6,0.7871
8314,40,6,43,20.96,26.61,0.7879
8314,40,6,43,20.99,26.61,0.7887
8315,40,6,43,21.01,26.61,0.7895
8316,40,6,43,21.04,26.62,0.7903
8316,40,6,43,21.06,26.62,0.7911
8317,40,6,43,21.08,26.62,0.7919
8318,40,6,43,21.11,26.63,0.7927
8319,40,6,43,21.13,26.63,0.7935
8319,40,6,43,21.16,26.63,0.7943
8320,40,6,43,21.18,26.64,0.7951
8321,40,6,43,21.2,26.64,0.7959
8321,40,6,43,21.23,26.64,0.7967
8322,40,6,43,21.25,26.65,0.7975
8323,40,6,43,21.28,26.65,0.7983
8323,40,6,43,21.3,26.65,0.7991
8324,40,6,43,21.32,26.66,0.7999
8325,40,6,43,21.35,26.66,0.8007
8326,40,6,43,21.37,26.66,0.8015
8326,40,6,43,21.4,26.67,0.8023
8327,40,6,43,21.42,26.67,0.8031
8328,40,6,43,21.44,26.67,0.8039
8328,40,6,43,21.47,26.68,0.8047
8329,40,6,43,21.49,26.68,0.8055
8330,40,6,43,21.52,26.69,0.8063
8330,40,6,43,21.54,26.69,0.8071
8331,40,6,43,21.56,26.69,0.8079
8332,40,6,43,21.59,26.7,0.8087
8333,40,6,43,21.61,26.7,0.8095
8333,40,6,43,21.64,26.7,0.8103
8334,40,6,43,21.66,26.71,0.8111
8335,40,6,43,21.68,26.71,0.8119
8335,40,6,43,21.71,26.71,0.8127
8336,40,6,43,21.73,26.72,0.8135
8337,40,6,43,21.76,26.72,0.8143
8337,40,6,43,21.78,26.72,0.8151
8338,40,6,43,21.81,26.73,0.8159
8339,40,6,43,21.83,26.73,0.8167
8340,40,6,43,21.85,26.73,0.8175
8340,40,6,43,21.88,26.74,0.8183
8341,40,6,43,21.9,26.74,0.8191
8342,40,6,43,21.93,26.74,0.8199
8342,40,6,43,21.95,26.75,0.8207
8343,40,6,43,21.98,26.75,0.8215
8344,40,6,43,22,26.75,0.8223
8344,40,6,43,22.02,26.76,0.8231
8345,40,6,43,22.05,26.76,0.8239
8346,40,6,43,22.07,26.76,0.8247
8347,40,6,43,22.1,26.77,0.8255
8347,40,6,43,22.12,26.77,0.8264
8348,40,6,43,22.15,26.77,0.8272
8349,40,6,43,22.17,26.78,0.828
8349,40,6,43,22.19,26.78,0.8288
8350,40,6,43,22.22,26.78,0.8296
8351,40,6,43,22.24,26.79,0.8304
8351,40,6,43,22.27,26.79,0.8312
8352,40,6,43,22.29,26.79,0.832
8353,40,6,43,22.32,26.8,0.8328
8354,40,6,43,22.34,26.8,0.8336
8354,40,6,43,22.37,26.8,0.8344
8355,40,6,43,22.39,26.81,0.8352
8356,40,6,43,22.41,26.81,0.836
8356,40,6,43,22.44,26.81,0.8368
8357,40,6,43,22.46,26.82,0.8376
8358,40,6,43,22.49,26.82,0.8384
8358,40,6,43,22.51,26.82,0.8392
8359,40,6,43,22.54,26.83,0.8401
8360,40,6,43,22.56,26.83,0.8409
8361,40,6,43,22.59,26.84,0.8417
8361,40,6,43,22.61,26.84,0.8425
8362,40,6,43,22.64,26.84,0.8433
8363,40,6,43,22.66,26.85,0.8441
8363,40,6,43,22.68,26.85,0.8449
8364,40,6,43,22.71,26.85,0.8457
8365,40,6,43,22.73,26.86,0.8465
8365,40,6,43,22.76,26.86,0.8473
8366,40,6,43,22.78,26.86,0.8481
8367,40,6,43,22.81,26.87,0.8489
8368,40,6,43,22.83,26.87,0.8498
8368,40,6,43,22.86,26.87,0.8506
8369,40,6,43,22.88,26.88,0.8514
8370,40,6,43,22.91,26.88,0.8522
8370,40,6,43,22.93,26.88,0.853
8371,40,6,43,22.96,26.89,0.8538
8372,40,6,43,22.98,26.89,0.8546
8372,40,6,43,23.01,26.89,0.8554
8373,40,6,43,23.03,26.9,0.8562
8374,40,6,43,23.05,26.9,0.8571
8375,40,6,43,23.08,26.9,0.8579
8375,40,6,43,23.1,26.91,0.8587
8376,40,6,43,23.13,26.91,0.8595
8377,40,6,43,23.15,26.91,0.8603
8377,40,6,43,23.18,26.92,0.8611
8378,40,6,43,23.2,26.92,0.8619
8379,40,6,43,23.23,26.92,0.8627
8379,40,6,43,23.25,26.93,0.8635
8380,40,6,43,23.28,26.93,0.8644
8381,40,6,43,23.3,26.93,0.8652
8382,40,6,43,23.33,26.94,0.866
8382,40,6,43,23.35,26.94,0.8668
8383,40,6,43,23.38,26.94,0.8676
8384,40,6,43,23.4,26.95,0.8684
8384,40,6,43,23.43,26.95,0.8692
8385,40,6,43,23.45,26.95,0.8701
8386,40,6,43,23.48,26.96,0.8709
8386,40,6,43,23.5,26.96,0.8717
8387,40,6,43,23.53,26.96,0.8725
8388,40,6,43,23.55,26.97,0.8733
8389,40,6,43,23.58,26.97,0.8741
8389,40,6,43,23.6,26.97,0.8749
8390,40,6,43,23.63,26.98,0.8758
8391,40,6,43,23.65,26.98,0.8766
8391,40,6,43,23.68,26.98,0.8774
8392,40,6,43,23.7,26.99,0.8782
8393,40,6,43,23.73,26.99,0.879
8393,40,6,43,23.75,26.99,0.8798
8394,40,6,43,23.78,27,0.8807
8395,40,6,43,23.8,27,0.8815
8396,40,6,43,23.83,27.01,0.8823
8396,40,6,43,23.85,27.01,0.8831
8397,40,6,43,23.88,27.01,0.8839
8398,40,6,43,23.9,27.02,0.8847
8398,40,6,43,23.93,27.02,0.8856
8399,40,6,43,23.95,27.02,0.8864
8400,40,6,43,23.98,27.03,0.8872
8400,40,6,43,24,27.03,0.888
8401,40,6,43,24.03,27.03,0.8888
8402,40,6,43,24.05,27.04,0.8896
8403,40,6,43,24.08,27.04,0.8905
8403,40,6,43,24.1,27.04,0.8913
8404,40,6,43,24.13,27.05,0.8921
8405,40,6,43,24.15,27.05,0.8929
8405,40,6,43,24.18,27.05,0.8937
8406,40,6,43,24.2,27.06,0.8946
8407,40,6,43,24.23,27.06,0.8954
8407,40,6,43,24.25,27.06,0.8962
8408,40,6,43,24.28,27.07,0.897
8409,40,6,43,24.3,27.07,0.8978
8410,40,6,43,24.33,27.07,0.8987
8410,40,6,43,24.35,27.08,0.8995
8411,40,6,43,24.38,27.08,0.9003
8412,40,6,43,24.41,27.08,0.9011
8412,40,6,43,24.43,27.09,0.9019
8413,40,6,43,24.46,27.09,0.9028
8414,40,6,43,24.48,27.09,0.9036
8414,40,6,43,24.51,27.1,0.9044
8415,40,6,43,24.53,27.1,0.9052
8416,40,6,43,24.56,27.1,0.9061
8417,40,6,43,24.58,27.11,0.9069
8417,40,6,43,24.61,27.11,0.9077
8418,40,6,43,24.63,27.11,0.9085
8419,40,6,43,24.66,27.12,0.9093
8419,40,6,43,24.68,27.12,0.9102
8420,40,6,43,24.71,27.12,0.911
8421,40,6,43,24.74,27.13,0.9118
8421,40,6,43,24.76,27.13,0.9126
8422,40,6,43,24.79,27.13,0.9135
8423,40,6,43,24.81,27.14,0.9143
8424,40,6,43,24.84,27.14,0.9151
8424,40,6,43,24.86,27.14,0.9159
8425,40,6,43,24.89,27.15,0.9168
8426,40,6,43,24.91,27.15,0.9176
8426,40,6,43,24.94,27.15,0.9184
8427,40,6,43,24.96,27.16,0.9192
8428,40,6,43,24.99,27.16,0.9201
8428,40,6,43,25.02,27.16,0.9209
8429,40,6,43,25.04,27.17,0.9217
8430,40,6,43,25.07,27.17,0.9225
8431,40,6,43,25.09,27.17,0.9234
8431,40,6,43,25.12,27.18,0.9242
8432,40,6,43,25.14,27.18,0.925
8433,40,6,43,25.17,27.18,0.9258
8433,40,6,43,25.19,27.19,0.9267
8434,40,6,43,25.22,27.19,0.9275
8435,40,6,43,25.25,27.19,0.9283
8435,40,6,43,25.27,27.2,0.9292
8436,40,6,43,25.3,27.2,0.93
8437,40,6,43,25.32,27.21,0.9308
8438,40,6,43,25.35,27.21,0.9316
8438,40,6,43,25.37,27.21,0.9325
8439,40,6,43,25.4,27.22,0.9333
8440,40,6,43,25.43,27.22,0.9341
8440,40,6,43,25.45,27.22,0.935
8441,40,6,43,25.48,27.23,0.9358
8442,40,6,43,25.5,27.23,0.9366
8442,40,6,43,25.53,27.23,0.9374
8443,40,6,43,25.55,27.24,0.9383
8444,40,6,43,25.58,27.24,0.9391
8445,40,6,43,25.61,27.24,0.9399
8445,40,6,43,25.63,27.25,0.9408
8446,40,6,43,25.66,27.25,0.9416
